precision|recall|f1|pr_auc|detectados|tasa_detectada|variante|modelo|feature_principal|transformacion|latencia_ms|registros_test|fold|subpartida|registros_train|outlier_rate_test
0.0|0.0|0.0|0.04|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.605700000785873|25|4|1001991000-LOS DEMAS TRIGOS|100|0.04
0.0|0.0|0.0|0.0|2|0.08|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.119700000359444|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.858100000201375|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.913699999349774|25|5|1001991000-LOS DEMAS TRIGOS|100|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.996400000090944|5|1|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.245399998893845|5|1|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.658500000630738|5|1|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|2|0.4|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.151800000836374|5|2|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|2|0.4|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.45529999989958|5|2|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.074400000434252|5|2|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.930399999575457|5|3|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|11.66929999999411|5|3|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|22.99499999935506|5|3|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|18|0.0
0.0|0.0|0.0|0.0|1|0.25|A_BASELINE|IQR sobre VU original|VU|sin transformacion|11.725899999873945|4|4|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|12.522999999418971|4|4|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|21.955199999865727|4|4|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|11.472199999843724|4|5|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|12.838099999498809|4|5|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|36.900699999023345|4|5|1003900000-CEBADA, EXCEPTO PARA LA SIEMBRA|19|0.0
0.0|0.0|0.0|0.0|8|0.3076923076923077|A_BASELINE|IQR sobre VU original|VU|sin transformacion|21.92009999998845|26|1|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.819499999342952|26|1|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|1|0.038461538461538464|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.395500000726315|26|1|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|5|0.19230769230769232|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.837000001425622|26|2|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.584900000845664|26|2|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.085699999370263|26|2|1005100000-MAIZ PARA SIEMBRA|101|0.0
0.0|0.0|0.0|0.0|1|0.04|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.970299999622512|25|3|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.91729999987001|25|3|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.11269999941578|25|3|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|3|0.12|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.919399999285815|25|4|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|10.132100000191713|25|4|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.342999999324093|25|4|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|6|0.24|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.880400000634836|25|5|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.50870000087889|25|5|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|1|0.04|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.882499999861466|25|5|1005100000-MAIZ PARA SIEMBRA|102|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.071200000107638|4|1|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|8.786200000031386|4|1|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.142499998546555|4|1|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.25|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|8.640599999125698|4|2|1005901900-LOS DEMAS MAICES|16|0.25
0.0|0.0|0.0|0.25|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|8.651000000099884|4|2|1005901900-LOS DEMAS MAICES|16|0.25
0.0|0.0|0.0|0.25|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.426199999637902|4|2|1005901900-LOS DEMAS MAICES|16|0.25
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.257699999579927|4|3|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.998700001233374|4|3|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.29789999969944|4|3|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.207500001139124|4|4|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|8.587600001192186|4|4|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.147599999181693|4|4|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|1|0.25|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.478500000113854|4|5|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.096100000533625|4|5|1005901900-LOS DEMAS MAICES|16|0.0
0.0|0.0|0.0|0.0|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|15.395399999761139|4|5|1005901900-LOS DEMAS MAICES|16|0.0
0.5|1.0|0.6666666666666666|0.5|6|0.18181818181818182|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.195600001476123|33|1|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
0.6|1.0|0.75|0.6|5|0.15151515151515152|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.184900000036578|33|1|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
0.5|0.3333333333333333|0.4|0.22727272727272727|2|0.06060606060606061|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.605899998670793|33|1|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
1.0|0.6666666666666666|0.8|0.6969696969696969|2|0.06060606060606061|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.363999999550288|33|2|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
1.0|1.0|1.0|1.0|3|0.09090909090909091|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.347199998956057|33|2|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
0.0|0.0|0.0|0.09090909090909091|0|0.0|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.326199998729862|33|2|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|129|0.09090909090909091
0.2|0.5|0.2857142857142857|0.13125|5|0.15625|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.122900000875234|32|3|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
0.5|1.0|0.6666666666666666|0.5|4|0.125|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.578099999998813|32|3|1005902000-MAIZ REVENTON (ZEA MAYS CONVAR. MICROSPERMA O ZEA MAYS VAR. EVERTA)|130|0.0625
