subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1302391000-MUCILAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA)|A_BASELINE|0.7633|0.639|1.0|0.639|5|347
1302391000-MUCILAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA)|B_LOG|0.8514|0.769|1.0|0.769|5|347
1302391000-MUCILAGOS DE SEMILLA DE TARA (CAESALPINEA SPINOSA)|C_WINS|0.0|0.0|0.0|0.0403|5|347
1302399000-LOS DEMAS MUCILAGOS Y ESPESATIVOS DERIVADOS DE VEGETALES, INCLUSO MODIFICADOS|A_BASELINE|0.16|0.1333|0.2|0.1333|5|32
1302399000-LOS DEMAS MUCILAGOS Y ESPESATIVOS DERIVADOS DE VEGETALES, INCLUSO MODIFICADOS|B_LOG|0.0|0.0|0.0|0.0571|5|32
1302399000-LOS DEMAS MUCILAGOS Y ESPESATIVOS DERIVADOS DE VEGETALES, INCLUSO MODIFICADOS|C_WINS|0.0|0.0|0.0|0.0571|5|32
1401100000-BAMBU|A_BASELINE|0.2|0.2|0.2|0.2|5|26
1401100000-BAMBU|B_LOG|0.2|0.2|0.2|0.2|5|26
1401100000-BAMBU|C_WINS|0.2|0.2|0.2|0.2|5|26
1404901000-ACHIOTE EN POLVO (ONOTO, BIJA)|A_BASELINE|0.3333|0.3|0.4|0.3545|5|54
1404901000-ACHIOTE EN POLVO (ONOTO, BIJA)|B_LOG|0.9333|0.9|1.0|0.9|5|54
1404901000-ACHIOTE EN POLVO (ONOTO, BIJA)|C_WINS|0.0|0.0|0.0|0.0927|5|54
1404902000-TARA EN POLVO|A_BASELINE|1.0|1.0|1.0|1.0|5|593
1404902000-TARA EN POLVO|B_LOG|0.9714|0.95|1.0|0.95|5|593
1404902000-TARA EN POLVO|C_WINS|0.0|0.0|0.0|0.0219|5|593
1404909090-DEMAS PRODUCTOS VEGETALES NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE|A_BASELINE|0.7|0.5667|1.0|0.5667|5|113
1404909090-DEMAS PRODUCTOS VEGETALES NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE|B_LOG|0.8|0.7|1.0|0.7|5|113
1404909090-DEMAS PRODUCTOS VEGETALES NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE|C_WINS|0.0|0.0|0.0|0.0443|5|113
1507901000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|A_BASELINE|0.581|0.68|0.6|0.58|5|39
1507901000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|B_LOG|0.8933|0.9333|0.9|0.8583|5|39
1507901000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|C_WINS|0.0|0.0|0.0|0.2286|5|39
1507909000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|A_BASELINE|0.0|0.0|0.0|0.0|5|39
1507909000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|B_LOG|0.0|0.0|0.0|0.0|5|39
1507909000-ACEITE DE SOJA Y SUS FRACCIONES, INCL. REFINADO, PERO SIN MODIF. QUIMICAMENTE|C_WINS|0.0|0.0|0.0|0.0|5|39
1509200000-ACEITE DE OLIVA VIRGEN EXTRA|A_BASELINE|0.4667|0.4|0.6|0.4|5|32
1509200000-ACEITE DE OLIVA VIRGEN EXTRA|B_LOG|0.6|0.6|0.6|0.6|5|32
1509200000-ACEITE DE OLIVA VIRGEN EXTRA|C_WINS|0.0|0.0|0.0|0.0952|5|32
1509400000-LOS DEMÃS ACEITES DE OLIVA VÃRGENES|A_BASELINE|0.0|0.0|0.0|0.1867|5|27
1509400000-LOS DEMÃS ACEITES DE OLIVA VÃRGENES|B_LOG|0.0|0.0|0.0|0.1867|5|27
1509400000-LOS DEMÃS ACEITES DE OLIVA VÃRGENES|C_WINS|0.0|0.0|0.0|0.1867|5|27
1511100000-ACEITE DE PALMA EN BRUTO|A_BASELINE|0.3333|0.3|0.4|0.3|5|74
1511100000-ACEITE DE PALMA EN BRUTO|B_LOG|0.3333|0.3|0.4|0.3|5|74
1511100000-ACEITE DE PALMA EN BRUTO|C_WINS|0.0|0.0|0.0|0.0276|5|74
1511900000-ACEITE DE PALMA Y SUS FRACCIONES, INCL. REFINADO PERO SIN MODIFICAR QUIMICAMENTE|A_BASELINE|0.678|1.0|0.5821|0.6166|5|465
1511900000-ACEITE DE PALMA Y SUS FRACCIONES, INCL. REFINADO PERO SIN MODIFICAR QUIMICAMENTE|B_LOG|0.5091|1.0|0.3821|0.4338|5|465
1511900000-ACEITE DE PALMA Y SUS FRACCIONES, INCL. REFINADO PERO SIN MODIFICAR QUIMICAMENTE|C_WINS|0.0444|0.2|0.025|0.1067|5|465
1513211000-ACEITE DE ALMENDRA DE PALMA, EN BRUTO|A_BASELINE|0.0|0.0|0.0|0.0|5|107
1513211000-ACEITE DE ALMENDRA DE PALMA, EN BRUTO|B_LOG|0.0|0.0|0.0|0.0|5|107
1513211000-ACEITE DE ALMENDRA DE PALMA, EN BRUTO|C_WINS|0.0|0.0|0.0|0.0|5|107
1513291000-ACEITE DE ALMENDRA DE PALMA, REFINADO Y SUS FRACCIONES|A_BASELINE|0.0|0.0|0.0|0.0|5|46
1513291000-ACEITE DE ALMENDRA DE PALMA, REFINADO Y SUS FRACCIONES|B_LOG|0.0|0.0|0.0|0.0|5|46
1513291000-ACEITE DE ALMENDRA DE PALMA, REFINADO Y SUS FRACCIONES|C_WINS|0.0|0.0|0.0|0.0|5|46
1515500000-ACEITE DE SESAMO (AJONJOLI) Y SUS FRACCIONES|A_BASELINE|0.0|0.0|0.0|0.0|5|61
1515500000-ACEITE DE SESAMO (AJONJOLI) Y SUS FRACCIONES|B_LOG|0.0|0.0|0.0|0.0|5|61
1515500000-ACEITE DE SESAMO (AJONJOLI) Y SUS FRACCIONES|C_WINS|0.0|0.0|0.0|0.0|5|61
1515900090-DEMAS ACEITES Y GRASAS VEGETALES FIJOS, Y SUS FRACCIONES, INCL. REFINADOS PERO SIN M|A_BASELINE|0.6838|0.5733|0.9|0.5572|5|258
1515900090-DEMAS ACEITES Y GRASAS VEGETALES FIJOS, Y SUS FRACCIONES, INCL. REFINADOS PERO SIN M|B_LOG|1.0|1.0|1.0|1.0|5|258
1515900090-DEMAS ACEITES Y GRASAS VEGETALES FIJOS, Y SUS FRACCIONES, INCL. REFINADOS PERO SIN M|C_WINS|0.08|0.0667|0.1|0.0643|5|258
1516200000-GRASAS Y ACEITES, VEGETALES, Y SUS FRACCIONES, PARCIAL O TOTALMENTE HIDROGENADOS|A_BASELINE|0.6721|0.5143|1.0|0.5143|5|236
1516200000-GRASAS Y ACEITES, VEGETALES, Y SUS FRACCIONES, PARCIAL O TOTALMENTE HIDROGENADOS|B_LOG|1.0|1.0|1.0|1.0|5|236
1516200000-GRASAS Y ACEITES, VEGETALES, Y SUS FRACCIONES, PARCIAL O TOTALMENTE HIDROGENADOS|C_WINS|0.0|0.0|0.0|0.0762|5|236
1517100000-MARGARINA, EXCEPTO LA MARGARINA LIQUIDA|A_BASELINE|0.0|0.0|0.0|0.0|5|46
1517100000-MARGARINA, EXCEPTO LA MARGARINA LIQUIDA|B_LOG|0.0|0.0|0.0|0.0|5|46
1517100000-MARGARINA, EXCEPTO LA MARGARINA LIQUIDA|C_WINS|0.0|0.0|0.0|0.0|5|46
1517900000-DEMAS MEZCLAS O PREPARAC. ALIMENTICIAS DE GRASAS O ACEITES, ANIMALES O VEGETALES|A_BASELINE|0.6|0.6|0.6|0.6|5|27
1517900000-DEMAS MEZCLAS O PREPARAC. ALIMENTICIAS DE GRASAS O ACEITES, ANIMALES O VEGETALES|B_LOG|0.6|0.6|0.6|0.6|5|27
1517900000-DEMAS MEZCLAS O PREPARAC. ALIMENTICIAS DE GRASAS O ACEITES, ANIMALES O VEGETALES|C_WINS|0.0|0.0|0.0|0.1133|5|27
1518009000-DEMAS GRASAS Y ACEITES ANIMALES O VEGETALES Y SUS FRACCIONES, COCIDOS, OXIDADOS, DESH|A_BASELINE|1.0|1.0|1.0|1.0|5|254
1518009000-DEMAS GRASAS Y ACEITES ANIMALES O VEGETALES Y SUS FRACCIONES, COCIDOS, OXIDADOS, DESH|B_LOG|1.0|1.0|1.0|1.0|5|254
1518009000-DEMAS GRASAS Y ACEITES ANIMALES O VEGETALES Y SUS FRACCIONES, COCIDOS, OXIDADOS, DESH|C_WINS|0.0|0.0|0.0|0.1535|5|254
1702301000-GLUCOSA Y JARABE DE GLUCOSA, CONT. GLUCOSA>=99% EN PESO, (DEXTROSA)|A_BASELINE|0.3333|0.4|0.3|0.46|5|24
1702301000-GLUCOSA Y JARABE DE GLUCOSA, CONT. GLUCOSA>=99% EN PESO, (DEXTROSA)|B_LOG|0.3333|0.4|0.3|0.46|5|24
1702301000-GLUCOSA Y JARABE DE GLUCOSA, CONT. GLUCOSA>=99% EN PESO, (DEXTROSA)|C_WINS|0.0|0.0|0.0|0.25|5|24
1702309000-DEMAS GLUCOSA Y JARABE DE GLUCOSA, SIN FRUCTOSA O C/FRUCTOSA, SECO<20=% EN PESO|A_BASELINE|0.2|0.2|0.2|0.2286|5|33
1702309000-DEMAS GLUCOSA Y JARABE DE GLUCOSA, SIN FRUCTOSA O C/FRUCTOSA, SECO<20=% EN PESO|B_LOG|0.0|0.0|0.0|0.0571|5|33
1702309000-DEMAS GLUCOSA Y JARABE DE GLUCOSA, SIN FRUCTOSA O C/FRUCTOSA, SECO<20=% EN PESO|C_WINS|0.0|0.0|0.0|0.0571|5|33
1702904000-DEMAS JARABES|A_BASELINE|0.0|0.0|0.0|0.0|5|98
1702904000-DEMAS JARABES|B_LOG|0.0|0.0|0.0|0.0|5|98
1702904000-DEMAS JARABES|C_WINS|0.0|0.0|0.0|0.0|5|98
1702909000-DEMAS AZUCARES, INCLUIDO EL AZUCAR INVERTIDO|A_BASELINE|0.4|0.4|0.4|0.49|5|24
1702909000-DEMAS AZUCARES, INCLUIDO EL AZUCAR INVERTIDO|B_LOG|0.0|0.0|0.0|0.17|5|24
1702909000-DEMAS AZUCARES, INCLUIDO EL AZUCAR INVERTIDO|C_WINS|0.0|0.0|0.0|0.17|5|24
1704101000-CHICLES Y GOMAS DE MASCAR RECUBIERTOS DE AZUCAR|A_BASELINE|0.9405|1.0|0.8897|0.9139|5|290
1704101000-CHICLES Y GOMAS DE MASCAR RECUBIERTOS DE AZUCAR|B_LOG|0.6285|1.0|0.4692|0.5865|5|290
1704101000-CHICLES Y GOMAS DE MASCAR RECUBIERTOS DE AZUCAR|C_WINS|0.112|0.24|0.0769|0.2373|5|290
1704109000-DEMAS CHICLES Y GOMAS DE MASCAR|A_BASELINE|0.8585|0.7631|1.0|0.7631|5|217
1704109000-DEMAS CHICLES Y GOMAS DE MASCAR|B_LOG|0.811|0.705|1.0|0.705|5|217
1704109000-DEMAS CHICLES Y GOMAS DE MASCAR|C_WINS|0.1683|0.4667|0.1067|0.2042|5|217
1704901000-BOMBONES, CARAMELOS CONFITES Y PASTILLAS, SIN CACAO|A_BASELINE|0.8408|0.8485|0.8364|0.7353|5|1401
1704901000-BOMBONES, CARAMELOS CONFITES Y PASTILLAS, SIN CACAO|B_LOG|0.921|0.9852|0.8682|0.8756|5|1401
1704901000-BOMBONES, CARAMELOS CONFITES Y PASTILLAS, SIN CACAO|C_WINS|0.0378|0.1295|0.0227|0.1572|5|1401
1704909000-DEMAS ARTICULOS DE CONFITERIA SIN CACAO (INCL. CHOCOLATE BLANCO)|A_BASELINE|0.0|0.0|0.0|0.0|5|270
1704909000-DEMAS ARTICULOS DE CONFITERIA SIN CACAO (INCL. CHOCOLATE BLANCO)|B_LOG|0.0|0.0|0.0|0.0|5|270
1704909000-DEMAS ARTICULOS DE CONFITERIA SIN CACAO (INCL. CHOCOLATE BLANCO)|C_WINS|0.0|0.0|0.0|0.0|5|270
1801001900-CACAO EN GRANO, ENTERO O PARTIDO, CRUDO|A_BASELINE|0.76|0.6543|0.9126|0.6036|5|1709
1801001900-CACAO EN GRANO, ENTERO O PARTIDO, CRUDO|B_LOG|0.6412|0.4732|1.0|0.4732|5|1709
1801001900-CACAO EN GRANO, ENTERO O PARTIDO, CRUDO|C_WINS|0.0243|0.0583|0.0154|0.076|5|1709
1801002000-CACAO EN GRANO, ENTERO O PARTIDO, TOSTADO|A_BASELINE|0.2667|0.4|0.2|0.2317|5|284
1801002000-CACAO EN GRANO, ENTERO O PARTIDO, TOSTADO|B_LOG|0.8833|0.82|1.0|0.82|5|284
1801002000-CACAO EN GRANO, ENTERO O PARTIDO, TOSTADO|C_WINS|0.0|0.0|0.0|0.0387|5|284
1802000000-CASCARA, PELICULAS Y DEMAS RESIDUOS DE CACAO.|A_BASELINE|0.7448|1.0|0.6333|0.7377|5|67
1802000000-CASCARA, PELICULAS Y DEMAS RESIDUOS DE CACAO.|B_LOG|0.5648|0.8|0.45|0.6005|5|67
1802000000-CASCARA, PELICULAS Y DEMAS RESIDUOS DE CACAO.|C_WINS|0.16|0.4|0.1|0.3385|5|67
1803100000-PASTA DE CACAO SIN DESGRASAR|A_BASELINE|0.0|0.0|0.0|0.0406|5|468
1803100000-PASTA DE CACAO SIN DESGRASAR|B_LOG|0.9778|0.96|1.0|0.96|5|468
1803100000-PASTA DE CACAO SIN DESGRASAR|C_WINS|0.0|0.0|0.0|0.0406|5|468
1803200000-PASTA DE CACAO DESGRASADA TOTAL O PARCIALMENTE|A_BASELINE|0.0|0.0|0.0|0.0|5|102
1803200000-PASTA DE CACAO DESGRASADA TOTAL O PARCIALMENTE|B_LOG|0.0|0.0|0.0|0.0|5|102
1803200000-PASTA DE CACAO DESGRASADA TOTAL O PARCIALMENTE|C_WINS|0.0|0.0|0.0|0.0|5|102
1804001100-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO<=1%|A_BASELINE|0.0|0.0|0.0|0.0205|5|195
1804001100-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO<=1%|B_LOG|0.4933|0.4333|0.6|0.4333|5|195
1804001100-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO<=1%|C_WINS|0.0|0.0|0.0|0.0205|5|195
1804001200-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1% PERO<=1.65%|A_BASELINE|0.2|0.2|0.2|0.2|5|264
1804001200-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1% PERO<=1.65%|B_LOG|0.1333|0.1|0.2|0.1|5|264
1804001200-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1% PERO<=1.65%|C_WINS|0.0|0.0|0.0|0.0038|5|264
1804001300-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1.65%|A_BASELINE|0.0|0.0|0.0|0.0085|5|238
1804001300-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1.65%|B_LOG|0.16|0.1333|0.2|0.1333|5|238
1804001300-MANTECA DE CACAO C/INDICE DE ACIDEZ EXPRESADO EN ACIDO OLEICO>1.65%|C_WINS|0.0|0.0|0.0|0.0085|5|238
1805000000-CACAO EN POLVO SIN ADICION DE AZUCAR NI OTRO EDULCORANTE.|A_BASELINE|0.2662|0.2768|0.2705|0.1267|5|895
1805000000-CACAO EN POLVO SIN ADICION DE AZUCAR NI OTRO EDULCORANTE.|B_LOG|0.871|0.7817|1.0|0.7817|5|895
1805000000-CACAO EN POLVO SIN ADICION DE AZUCAR NI OTRO EDULCORANTE.|C_WINS|0.0|0.0|0.0|0.0704|5|895
1806100000-CACAO EN POLVO CON ADICION DE AZUCAR U OTRO EDULCORANTE|A_BASELINE|0.1|0.0667|0.2|0.0667|5|199
1806100000-CACAO EN POLVO CON ADICION DE AZUCAR U OTRO EDULCORANTE|B_LOG|0.2|0.2|0.2|0.2|5|199
1806100000-CACAO EN POLVO CON ADICION DE AZUCAR U OTRO EDULCORANTE|C_WINS|0.0|0.0|0.0|0.0051|5|199
1806209000-DEMAS PREPARACIONES, BIEN EN BLOQUES O BARRAS CON PESO > A 2 KG,|A_BASELINE|0.0708|0.1|0.0571|0.0744|5|516
1806209000-DEMAS PREPARACIONES, BIEN EN BLOQUES O BARRAS CON PESO > A 2 KG,|B_LOG|0.8636|0.7667|1.0|0.7667|5|516
1806209000-DEMAS PREPARACIONES, BIEN EN BLOQUES O BARRAS CON PESO > A 2 KG,|C_WINS|0.0889|0.2|0.0571|0.1172|5|516
1806310000-CHOCOLATES Y DEMAS PREPARAC. CON CACAO, EN BLOQUES, TABLETAS O BARRAS, RELLENOS|A_BASELINE|0.7755|0.6343|1.0|0.6343|5|436
1806310000-CHOCOLATES Y DEMAS PREPARAC. CON CACAO, EN BLOQUES, TABLETAS O BARRAS, RELLENOS|B_LOG|0.5587|0.5933|0.55|0.4701|5|436
1806310000-CHOCOLATES Y DEMAS PREPARAC. CON CACAO, EN BLOQUES, TABLETAS O BARRAS, RELLENOS|C_WINS|0.0|0.0|0.0|0.0436|5|436
1806320000-CHOCOLATES Y SUS PREPARAC. EN BLOQUES. TABLETAS O BARRAS, SIN RELLENAR|A_BASELINE|0.4633|0.3047|1.0|0.3047|5|1478
1806320000-CHOCOLATES Y SUS PREPARAC. EN BLOQUES. TABLETAS O BARRAS, SIN RELLENAR|B_LOG|0.8689|0.7863|1.0|0.7863|5|1478
1806320000-CHOCOLATES Y SUS PREPARAC. EN BLOQUES. TABLETAS O BARRAS, SIN RELLENAR|C_WINS|0.0|0.0|0.0|0.0264|5|1478
1806900000-DEMAS CHOCOLATE Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO|A_BASELINE|0.1859|0.103|1.0|0.103|5|1829
1806900000-DEMAS CHOCOLATE Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO|B_LOG|0.6867|0.5733|1.0|0.5733|5|1829
1806900000-DEMAS CHOCOLATE Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO|C_WINS|0.0|0.0|0.0|0.0049|5|1829
1901109900-DEMAS PREPARAC. PARA LA ALIMENTACION INFANTIL, ACONDIC. PARA LA VENTA AL POR MENOR|A_BASELINE|0.76|1.0|0.6667|0.7403|5|68
1901109900-DEMAS PREPARAC. PARA LA ALIMENTACION INFANTIL, ACONDIC. PARA LA VENTA AL POR MENOR|B_LOG|0.92|1.0|0.8667|0.8963|5|68
1901109900-DEMAS PREPARAC. PARA LA ALIMENTACION INFANTIL, ACONDIC. PARA LA VENTA AL POR MENOR|C_WINS|0.0|0.0|0.0|0.2209|5|68
1901200000-MEZCLAS Y PASTAS PARA LA PREPARAC. DE PROD. DE PANADERIA, PASTELERIA DE LA P. 19.05|A_BASELINE|0.7203|0.564|1.0|0.564|5|519
1901200000-MEZCLAS Y PASTAS PARA LA PREPARAC. DE PROD. DE PANADERIA, PASTELERIA DE LA P. 19.05|B_LOG|0.8205|0.7052|1.0|0.7052|5|519
1901200000-MEZCLAS Y PASTAS PARA LA PREPARAC. DE PROD. DE PANADERIA, PASTELERIA DE LA P. 19.05|C_WINS|0.0|0.0|0.0|0.0809|5|519
1901902000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MAL|A_BASELINE|0.3171|0.24|0.5|0.2469|5|112
1901902000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MAL|B_LOG|0.8933|0.8333|1.0|0.8333|5|112
1901902000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MAL|C_WINS|0.0|0.0|0.0|0.0621|5|112
1901909000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MA|A_BASELINE|0.9876|0.9756|1.0|0.9756|5|705
1901909000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MA|B_LOG|0.9816|0.9642|1.0|0.9642|5|705
1901909000-DEMAS PREPARACIONES ALIMENTIICIAS DE HARINA SEMOLA, ALMIDON, FECULA O EXTRACTO DE MA|C_WINS|0.2531|0.6827|0.1583|0.309|5|705
1902110000-PASTAS ALIMENTICIAS S/COCER, RELLENAR O PREPARAR QUE CONTENGAN HUEVO|A_BASELINE|0.3268|0.2105|1.0|0.2105|5|199
1902110000-PASTAS ALIMENTICIAS S/COCER, RELLENAR O PREPARAR QUE CONTENGAN HUEVO|B_LOG|0.5149|0.4083|1.0|0.4083|5|199
1902110000-PASTAS ALIMENTICIAS S/COCER, RELLENAR O PREPARAR QUE CONTENGAN HUEVO|C_WINS|0.0|0.0|0.0|0.0251|5|199
1902190000-DEMAS PASTAS ALIMENTICIAS S/COCER, RELLENAR NI PREPARAR DE OTRA FORMA|A_BASELINE|0.9534|0.926|0.9833|0.9115|5|2980
1902190000-DEMAS PASTAS ALIMENTICIAS S/COCER, RELLENAR NI PREPARAR DE OTRA FORMA|B_LOG|0.9662|0.9746|0.9581|0.9374|5|2980
1902190000-DEMAS PASTAS ALIMENTICIAS S/COCER, RELLENAR NI PREPARAR DE OTRA FORMA|C_WINS|0.063|0.2262|0.0378|0.0885|5|2980
1902200000-PASTAS ALIMENTICIAS RELLENAS, INCLUSO COCIDAS O PREPARADAS DE OTRA FORMA|A_BASELINE|0.7333|1.0|0.6|0.6471|5|85
1902200000-PASTAS ALIMENTICIAS RELLENAS, INCLUSO COCIDAS O PREPARADAS DE OTRA FORMA|B_LOG|0.0|0.0|0.0|0.1059|5|85
1902200000-PASTAS ALIMENTICIAS RELLENAS, INCLUSO COCIDAS O PREPARADAS DE OTRA FORMA|C_WINS|0.0|0.0|0.0|0.1059|5|85
1902300000-DEMAS PASTAS ALIMENTICIAS|A_BASELINE|0.6133|0.45|1.0|0.45|5|204
1902300000-DEMAS PASTAS ALIMENTICIAS|B_LOG|1.0|1.0|1.0|1.0|5|204
1902300000-DEMAS PASTAS ALIMENTICIAS|C_WINS|0.0|0.0|0.0|0.0294|5|204
1904100000-PRODUCTOS A BASE DE CEREALES, OBTENIDOS POR INFLADO O TOSTADO|A_BASELINE|0.1837|0.1022|1.0|0.1022|5|1988
1904100000-PRODUCTOS A BASE DE CEREALES, OBTENIDOS POR INFLADO O TOSTADO|B_LOG|0.7333|0.6333|1.0|0.6333|5|1988
1904100000-PRODUCTOS A BASE DE CEREALES, OBTENIDOS POR INFLADO O TOSTADO|C_WINS|0.0|0.0|0.0|0.0025|5|1988
1904200000-PREPARACIONES ALIMENTICIAS OBTENIDAS CON COPOS DE CEREALES SIN TOSTAR O CON MEZCLAS D|A_BASELINE|0.0|0.0|0.0|0.0|5|65
1904200000-PREPARACIONES ALIMENTICIAS OBTENIDAS CON COPOS DE CEREALES SIN TOSTAR O CON MEZCLAS D|B_LOG|0.0|0.0|0.0|0.0|5|65
1904200000-PREPARACIONES ALIMENTICIAS OBTENIDAS CON COPOS DE CEREALES SIN TOSTAR O CON MEZCLAS D|C_WINS|0.0|0.0|0.0|0.0|5|65
1904300000-TRIGO BULGUR|A_BASELINE|0.0|0.0|0.0|0.0|5|27
1904300000-TRIGO BULGUR|B_LOG|0.0|0.0|0.0|0.0|5|27
1904300000-TRIGO BULGUR|C_WINS|0.0|0.0|0.0|0.0|5|27
1904900000-DEMAS PRODUCTOS A BASE DE CEREALES OBTENIDOS POR INFLADO O TOSTADO|A_BASELINE|0.0444|0.025|0.2|0.025|5|863
1904900000-DEMAS PRODUCTOS A BASE DE CEREALES OBTENIDOS POR INFLADO O TOSTADO|B_LOG|0.2|0.2|0.2|0.2|5|863
1904900000-DEMAS PRODUCTOS A BASE DE CEREALES OBTENIDOS POR INFLADO O TOSTADO|C_WINS|0.0|0.0|0.0|0.0012|5|863
"1905310000-GALLETAS DULCES (CON ADICIÃ""N DE EDULCORANTE)"|A_BASELINE|0.9081|1.0|0.8323|0.8451|5|12646
"1905310000-GALLETAS DULCES (CON ADICIÃ""N DE EDULCORANTE)"|B_LOG|0.7014|1.0|0.5404|0.5755|5|12646
"1905310000-GALLETAS DULCES (CON ADICIÃ""N DE EDULCORANTE)"|C_WINS|0.0071|0.0254|0.0041|0.0763|5|12646
1905320000-BARQUILLOS Y OBLEAS, INCL. RELLENOS (Â«GAUFRETTESÂ», Â«WAFERSÂ») Y Â«WAFFLESÂ» (Â«GAUFRESÂ»)|A_BASELINE|0.9426|0.8944|1.0|0.8944|5|690
1905320000-BARQUILLOS Y OBLEAS, INCL. RELLENOS (Â«GAUFRETTESÂ», Â«WAFERSÂ») Y Â«WAFFLESÂ» (Â«GAUFRESÂ»)|B_LOG|0.8349|0.7192|1.0|0.7192|5|690
1905320000-BARQUILLOS Y OBLEAS, INCL. RELLENOS (Â«GAUFRETTESÂ», Â«WAFERSÂ») Y Â«WAFFLESÂ» (Â«GAUFRESÂ»)|C_WINS|0.02|0.1|0.0111|0.1302|5|690
1905400000-PAN TOSTADO Y PRODUCTOS SIMILARES TOSTADOS|A_BASELINE|0.0|0.0|0.0|0.0|5|86
1905400000-PAN TOSTADO Y PRODUCTOS SIMILARES TOSTADOS|B_LOG|0.0|0.0|0.0|0.0|5|86
1905400000-PAN TOSTADO Y PRODUCTOS SIMILARES TOSTADOS|C_WINS|0.0|0.0|0.0|0.0|5|86
1905901000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|A_BASELINE|0.958|0.9538|0.9635|0.9218|5|5163
1905901000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|B_LOG|0.8888|1.0|0.8004|0.8163|5|5163
1905901000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|C_WINS|0.0|0.0|0.0|0.0796|5|5163
1905909000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|A_BASELINE|0.2509|0.1974|0.3495|0.0958|5|2514
1905909000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|B_LOG|0.8232|0.7014|1.0|0.7014|5|2514
1905909000-DEMAS PRODUCTOS DE PANADERIA, PASTELERIA O GALLETERIA, INCL. C/ADICION DE CACAO|C_WINS|0.0415|0.0778|0.0286|0.0456|5|2514
2001901000-ACEITUNAS PREPARADOS O CONSERVADOS EN VINAGRE O ACIDO ACETICO|A_BASELINE|0.0|0.0|0.0|0.0|5|63
2001901000-ACEITUNAS PREPARADOS O CONSERVADOS EN VINAGRE O ACIDO ACETICO|B_LOG|0.0|0.0|0.0|0.0|5|63
2001901000-ACEITUNAS PREPARADOS O CONSERVADOS EN VINAGRE O ACIDO ACETICO|C_WINS|0.0|0.0|0.0|0.0|5|63
2001909000-DEMAS HORTALIZAS,FRUTAS Y DEMAS PART. COMEST. DE PLANTAS,PREP. O CONSERV.EN VINAGRE|A_BASELINE|0.0835|0.0472|0.4|0.0256|5|2533
2001909000-DEMAS HORTALIZAS,FRUTAS Y DEMAS PART. COMEST. DE PLANTAS,PREP. O CONSERV.EN VINAGRE|B_LOG|0.1694|0.1002|0.6|0.084|5|2533
