subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
101299000-LOS DEMAS CABALLOS VIVOS, EXCEPTO LOS DE CARRERA O REPRODUCTORES DE RAZA PURA|C_WINS|0.0|0.0|0.0|0.2962|5|64
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|A_BASELINE|0.1143|0.08|0.2|0.08|5|113
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|B_LOG|0.1143|0.08|0.2|0.08|5|113
105120000-PAVOS (GALLIPAVOS) VIVOS, DE PESO INFERIOR O IGUAL A 185 GR|C_WINS|0.0|0.0|0.0|0.0174|5|113
106190000-LOS DEMAS MAMIFEROS VIVOS|A_BASELINE|0.8|0.8|0.8|0.8|5|27
106190000-LOS DEMAS MAMIFEROS VIVOS|B_LOG|0.2|0.2|0.2|0.3067|5|27
106190000-LOS DEMAS MAMIFEROS VIVOS|C_WINS|0.0|0.0|0.0|0.1467|5|27
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|A_BASELINE|0.0|0.0|0.0|0.0|5|215
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|B_LOG|0.0|0.0|0.0|0.0|5|215
106200000-REPTILES (INCLUIDAS LAS SERPIENTES Y TORTUGAS DE MAR), VIVOS|C_WINS|0.0|0.0|0.0|0.0|5|215
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|A_BASELINE|0.0|0.0|0.0|0.0|5|26
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|B_LOG|0.0|0.0|0.0|0.0|5|26
106490000-LOS DEMAS INSECTOS VIVOS, EXCEPTO LAS ABEJAS|C_WINS|0.0|0.0|0.0|0.0|5|26
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|A_BASELINE|0.2|0.2|0.2|0.2927|5|54
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|B_LOG|1.0|1.0|1.0|1.0|5|54
106900000-LOS DEMAS ANIMALES VIVOS, EXCEPTO MAMIFEROS, REPTILES, AVES O INSECTOS|C_WINS|0.0|0.0|0.0|0.1109|5|54
1101000000-HARINA DE TRIGO O DE MORCAJO (TRANQUILLON).|A_BASELINE|0.0|0.0|0.0|0.0|5|33
1101000000-HARINA DE TRIGO O DE MORCAJO (TRANQUILLON).|B_LOG|0.0|0.0|0.0|0.0|5|33
1101000000-HARINA DE TRIGO O DE MORCAJO (TRANQUILLON).|C_WINS|0.0|0.0|0.0|0.0|5|33
1102200000-HARINA DE MAIZ|A_BASELINE|0.2643|0.1752|0.6|0.1752|5|250
1102200000-HARINA DE MAIZ|B_LOG|0.4133|0.35|0.6|0.35|5|250
1102200000-HARINA DE MAIZ|C_WINS|0.0|0.0|0.0|0.016|5|250
1102909000-LAS DEMAS HARINAS DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO (TRANQUILLON)|A_BASELINE|0.0|0.0|0.0|0.0|5|211
1102909000-LAS DEMAS HARINAS DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO (TRANQUILLON)|B_LOG|0.0|0.0|0.0|0.0|5|211
1102909000-LAS DEMAS HARINAS DE CEREALES, EXCEPTO DE TRIGO O DE MORCAJO (TRANQUILLON)|C_WINS|0.0|0.0|0.0|0.0|5|211
1103110000-GRAÃ'ONES Y SEMOLA DE TRIGO|A_BASELINE|0.0|0.0|0.0|0.0|5|56
1103110000-GRAÃ'ONES Y SEMOLA DE TRIGO|B_LOG|0.0|0.0|0.0|0.0|5|56
1103110000-GRAÃ'ONES Y SEMOLA DE TRIGO|C_WINS|0.0|0.0|0.0|0.0|5|56
1104120000-GRANOS APLASTADOS O EN COPOS DE AVENA|A_BASELINE|0.0|0.0|0.0|0.0|5|78
1104120000-GRANOS APLASTADOS O EN COPOS DE AVENA|B_LOG|0.0|0.0|0.0|0.0|5|78
1104120000-GRANOS APLASTADOS O EN COPOS DE AVENA|C_WINS|0.0|0.0|0.0|0.0|5|78
1104190000-GRANOS APLASTADOS O EN COPOS DE LOS DEMAS CEREALES|A_BASELINE|0.0|0.0|0.0|0.0|5|42
1104190000-GRANOS APLASTADOS O EN COPOS DE LOS DEMAS CEREALES|B_LOG|0.0|0.0|0.0|0.0|5|42
1104190000-GRANOS APLASTADOS O EN COPOS DE LOS DEMAS CEREALES|C_WINS|0.0|0.0|0.0|0.0|5|42
1104220000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE AVENA|A_BASELINE|0.0|0.0|0.0|0.0|5|56
1104220000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE AVENA|B_LOG|0.0|0.0|0.0|0.0|5|56
1104220000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE AVENA|C_WINS|0.0|0.0|0.0|0.0|5|56
1104230000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE MAIZ|A_BASELINE|0.0|0.0|0.0|0.2227|5|229
1104230000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE MAIZ|B_LOG|0.0|0.0|0.0|0.2227|5|229
1104230000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE MAIZ|C_WINS|0.0|0.0|0.0|0.2227|5|229
1104291000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE CEBADA|A_BASELINE|0.75|1.0|0.62|0.6834|5|126
1104291000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE CEBADA|B_LOG|0.9206|0.8711|1.0|0.8711|5|126
1104291000-GRANOS TRABAJADOS (P.EJ. MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE CEBADA|C_WINS|0.0|0.0|0.0|0.1665|5|126
1104299000-GRANOS TRABAJADOS (EJ.MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE DEMAS CEREALES|A_BASELINE|0.0667|0.04|0.2|0.04|5|295
1104299000-GRANOS TRABAJADOS (EJ.MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE DEMAS CEREALES|B_LOG|0.04|0.0222|0.2|0.0222|5|295
1104299000-GRANOS TRABAJADOS (EJ.MONDADOS, PERLADOS, TROCEADOS O QUEBRANTADOS) DE DEMAS CEREALES|C_WINS|0.0|0.0|0.0|0.0034|5|295
1105100000-HARINA, SEMOLA Y POLVO DE PAPA|A_BASELINE|0.3333|0.3|0.4|0.3|5|78
1105100000-HARINA, SEMOLA Y POLVO DE PAPA|B_LOG|0.4|0.4|0.4|0.4|5|78
1105100000-HARINA, SEMOLA Y POLVO DE PAPA|C_WINS|0.0|0.0|0.0|0.025|5|78
1106100000-HARINA, SEMOLA, Y POLVO DE LAS HORTALIZAS DE LA PARTIDA NÂ§ 07.13|A_BASELINE|0.4234|0.5083|0.4667|0.3518|5|107
1106100000-HARINA, SEMOLA, Y POLVO DE LAS HORTALIZAS DE LA PARTIDA NÂ§ 07.13|B_LOG|0.9048|0.9|0.95|0.8591|5|107
1106100000-HARINA, SEMOLA, Y POLVO DE LAS HORTALIZAS DE LA PARTIDA NÂ§ 07.13|C_WINS|0.0|0.0|0.0|0.168|5|107
1106201000-HARINA, SEMOLA Y POLVO DE MACA (LEPIDIUM MEYENII)|A_BASELINE|0.7795|0.6565|0.9624|0.6358|5|1374
1106201000-HARINA, SEMOLA Y POLVO DE MACA (LEPIDIUM MEYENII)|B_LOG|0.9051|0.8313|1.0|0.8313|5|1374
1106201000-HARINA, SEMOLA Y POLVO DE MACA (LEPIDIUM MEYENII)|C_WINS|0.0348|0.0753|0.0228|0.0975|5|1374
1106209000-HARINA, SEMOLA Y POLVO DE SAGU O DE RAICES O TUBERCULOS DE LA PARTIDA 07.14|A_BASELINE|0.0|0.0|0.0|0.0|5|144
1106209000-HARINA, SEMOLA Y POLVO DE SAGU O DE RAICES O TUBERCULOS DE LA PARTIDA 07.14|B_LOG|0.0|0.0|0.0|0.0|5|144
1106209000-HARINA, SEMOLA Y POLVO DE SAGU O DE RAICES O TUBERCULOS DE LA PARTIDA 07.14|C_WINS|0.0|0.0|0.0|0.0|5|144
1106301000-HARINA, SEMOLA, Y POLVO DE BANANAS O PLATANOS|A_BASELINE|0.2|0.2|0.2|0.2833|5|60
