subpartida|modelo|precision_prom|recall_prom|f1_prom|f1_std|tasa_alertas_prom|n_folds|n_sinteticos_total
1005909000-LOS DEMAS MAICES|IQR_SUBPARTIDA|0.44946667198532053|1.0|0.6180493226780776|0.05950008880805284|0.16864805247576478|5|120
1005909000-LOS DEMAS MAICES|LOF_NOVELTY|0.4630580476390267|0.8666666666666666|0.6017062532139605|0.04367658854440219|0.1412646814109634|5|120
1005909000-LOS DEMAS MAICES|ISOLATION_FOREST|0.44356762285333706|0.7833333333333334|0.5629343634615804|0.056017318184543974|0.13442077359184226|5|120
1005909000-LOS DEMAS MAICES|ROBUST_Z_SUBPARTIDA|0.45404067197170644|0.5333333333333333|0.480545835715647|0.039639639300794546|0.09270331456434666|5|120
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|ROBUST_Z_SUBPARTIDA|0.5910603611818195|1.0|0.7424180436199606|0.029564240713269047|0.12585170340681362|5|370
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|IQR_SUBPARTIDA|0.5282848946546973|1.0|0.690973453520417|0.02444066778227153|0.1406813627254509|5|370
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|ISOLATION_FOREST|0.4958386058386058|1.0|0.662422414595719|0.030069285197380488|0.1501002004008016|5|370
1008509000-QUINUA, EXCEPTO PARA LA SIEMBRA|LOF_NOVELTY|0.46105339896389574|0.8945945945945946|0.6084398255982144|0.03586336927932398|0.14388777555110221|5|370
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|LOF_NOVELTY|0.5080035650623886|0.9|0.6363449163449163|0.10171356085340133|0.14406662040249826|5|50
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|ISOLATION_FOREST|0.32109683794466404|0.48|0.3781018981018981|0.08684344024859152|0.116793893129771|5|50
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|ROBUST_Z_SUBPARTIDA|0.6833333333333333|0.26|0.37032967032967035|0.14081378883201182|0.02882257691417997|5|50
1209919000-DEMAS SEMILLAS DE HORTALIZAS, PARA SIEMBRA|IQR_SUBPARTIDA|0.625|0.22000000000000003|0.3034188034188034|0.16244938298075395|0.02729585935692806|5|50
1211903000-OREGANO (ORIGANUM VULGARE)|ISOLATION_FOREST|0.48662626262626263|0.9428571428571428|0.6404747648131146|0.09888816832830487|0.14731182795698924|5|70
1211903000-OREGANO (ORIGANUM VULGARE)|LOF_NOVELTY|0.345292009276829|0.5|0.4047506852203247|0.055080277563709625|0.1139784946236559|5|70
1211903000-OREGANO (ORIGANUM VULGARE)|ROBUST_Z_SUBPARTIDA|0.3419611831511145|0.5|0.4038168434509898|0.04248935164057376|0.1129032258064516|5|70
1211903000-OREGANO (ORIGANUM VULGARE)|IQR_SUBPARTIDA|0.3242202729044834|0.5|0.39167386315011476|0.036237167505462034|0.11827956989247312|5|70
1211909099-RAICES DE REGALIZ|ROBUST_Z_SUBPARTIDA|0.5474486215538847|0.5161290322580645|0.5289065228033782|0.04010128815554254|0.07314881726646433|5|155
1211909099-RAICES DE REGALIZ|IQR_SUBPARTIDA|0.4520795184790595|0.5161290322580645|0.48066591642903633|0.0306041384340083|0.08787517463988052|5|155
1211909099-RAICES DE REGALIZ|LOF_NOVELTY|0.3706837606837607|0.5548387096774194|0.43960325770061653|0.08881446386851029|0.11731223201811436|5|155
1211909099-RAICES DE REGALIZ|ISOLATION_FOREST|0.24637850520203458|0.3419354838709677|0.2840216311665379|0.06915574589189964|0.10554511730982319|5|155
