escenario|metodo|n_registros|p50_segundos|p95_segundos|p99_segundos|promedio_segundos|minimo_segundos|maximo_segundos|throughput_registros_segundo|errores|observaciones
optimizacion_top5|base_sin_optimizacion|4601|0.03804550000040763|0.047544550000111485|0.04838891000008516|0.04053756666689878|0.03496720000021014|0.04860000000007858|113499.65916323678|0|OK
optimizacion_top5|vectorizacion_parcial|4601|0.03514190000078088|0.04068734000020413|0.04118026800015286|0.036757800000486895|0.03382800000053976|0.04130350000014005|125170.71206489656|0|OK
optimizacion_top5|top5_columnas_necesarias|4601|0.03639569999995729|0.03845337000029758|0.03863627400032783|0.03620303333354968|0.03353140000035637|0.03868200000033539|127088.79826752559|0|OK
